,date,score
178,16-01-13,0.5333333333333333
179,16-01-14,0.42857142857142855
180,16-01-15,0.2
181,16-01-16,0.38636363636363635
182,16-01-17,0.5
183,16-01-18,0.14285714285714285
184,16-01-19,0.29411764705882354
185,16-01-20,0.16666666666666666
186,16-01-21,0.5
187,16-01-22,0.4696969696969697
188,16-01-23,0.26
189,16-01-24,0.2894736842105263
190,16-01-25,0.41304347826086957
191,16-01-26,0.5
192,16-01-27,0.45
193,16-01-28,0.36363636363636365
194,16-01-29,0.125
195,16-01-30,0.32142857142857145
196,16-01-31,0.29411764705882354
197,16-02-01,0.18181818181818182
198,16-02-02,0.17647058823529413
199,16-02-03,0.6333333333333333
200,16-02-04,0.2777777777777778
201,16-02-05,0.2916666666666667
202,16-02-06,0.55
203,16-02-07,0.2
